gaokao_rank,word,phonetic,translation,priority,local_corpus_count,local_corpus_rank,frq_rank,bnc_rank,collins,oxford,tags,exchange,definition
367,share,ʃєә,"n. 部分, 参与, 一份, 参股, 份额；vt. 均分, 分担, 分享, 分配, 共有；vi. 分享；[计] 共享; DOS外部命令:在网络或多工系统中提供文件共享；文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持",A,4,582,711,620,5,1,zk gk cet4 cet6 ky,s:shares/d:shared/i:sharing/p:shared/3:shares,n. assets belonging to or due to or contributed by an individual person or group n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate v. have in common v. use jointly or in common
368,hot,hɒt,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的；adv. 热, 紧迫地",A,4,487,721,1055,4,1,zk gk,r:hotter/t:hottest/i:hotting/s:hots,a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning s. characterized by violent and forceful activity or movement; very intense a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm s. (color) bold and intense
369,sign,sain,"n. 符号, 招牌, 征兆, 正负号, 手势；vt. 签名, 打手势表达；vi. 签名；[计] 正负号; 符号; 符号字符",A,4,620,759,935,5,1,gk cet4 cet6 ky ielts,s:signs/d:signed/p:signed/i:signing/3:signs,n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened) n. a public display of a message n. (medicine) any objective evidence of the presence of a disorder or disease n. a gesture that is part of a sign language
370,meeting,'mi:tiŋ,"n. 会议, 会面；[法] 会议, 会谈, 集会",A,4,553,772,457,5,1,zk gk ielts,0:meet/1:i/s:meetings/i:meeting,n. a formally arranged gathering n. a small informal social gathering n. a casual or unexpected convergence n. the social act of assembling for some common purpose
371,loss,lɒs,"n. 损失, 遗失, 失败, 输, 错过, 伤亡；[化] 损失; 损耗",A,4,600,788,649,4,1,gk cet4 cet6 ky ielts,s:losses,n. something that is lost n. gradual decline in amount or activity n. the act of losing someone or something n. the disadvantage that results from losing something
372,lay,lei,"vt. 放置, 产, 铺设, 布置, 提出, 平息；vi. 下蛋, 打赌；n. 位置, 层, 隐藏处；a. 世俗的, 外行的；lie的过去式",A,4,601,803,958,4,1,zk gk cet4 cet6 ky toefl ielts,0:lie/1:p/d:laid/p:laid/i:laying/3:lays,"v. put in a horizontal position v. prepare or position for action or operation v. lay eggs v. impose as a duty, burden, or punishment"
373,gun,gʌn,n. 枪；[医] 枪,A,4,497,840,1706,4,1,zk gk cet4 cet6 ky,s:guns/d:gunned/i:gunning/p:gunned/3:guns,n. a weapon that discharges a missile at high velocity (especially from a metal tube or barrel) n. the discharge of a firearm as signal or as a salute in military ceremonies v. shoot with a gun
374,blue,blu:,"n. 蓝色；a. 蓝色的, 下流的, 忧郁的；vt. 染成蓝色；vi. 变蓝",A,4,625,842,1083,5,1,gk gre,s:blues/i:bluing/p:blued/3:blues/d:blued,n. blue color or pigment; resembling the color of the clear sky in the daytime n. blue clothing n. any organization or party whose uniforms or badges are blue n. any of numerous small butterflies of the family Lycaenidae
375,cold,kәuld,"n. 感冒, 寒冷；a. 寒冷的, 冷淡的, 冷静的；adv. 完全地",A,4,507,885,972,4,1,zk gk cet4 ky,r:colder/s:colds/t:coldest,n. a mild viral infection involving the nose and respiratory passages (but not the lungs) n. the sensation produced by low temperatures a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration a. extended meanings; especially of psychological coldness; without human warmth or emotion
376,card,kɑ:d,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机；vt. 备置卡片, 记于卡片上, 梳理；[计] 卡片, 卡",A,4,603,892,1035,4,1,zk gk ielts,s:cards/p:carded/i:carding/3:cards/d:carded,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes n. a card certifying the identity of the bearer n. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures) n. thin cardboard, usually rectangular"
377,tonight,tә'nait,"n. 今晚, 今夜；adv. 今晚, 今夜",A,4,486,910,1385,4,1,zk gk,,n. the present or immediately coming night r. during the night of the present day
378,inside,'in'said,"n. 内部, 内脏, 内幕；a. 内部的, 秘密的, 户内的；adv. 在里面；prep. 在...之内",A,4,524,964,1301,4,1,zk gk cet4 cet6 ky,s:insides,n. the region that is inside of something n. the inner or enclosed surface of something a. relating to or being on the side closer to the center or within a defined space s. being or applying to the inside of a building
379,trouble,'trʌbl,"n. 烦恼, 麻烦, 困难, 动乱, 故障；vt. 困扰, 麻烦, 使烦恼, 折磨；vi. 烦恼, 费心",A,4,542,981,1005,4,1,zk gk toefl ielts,s:troubles/d:troubled/p:troubled/3:troubles/i:troubling,n. a source of difficulty n. an event causing distress or pain n. an effort that is inconvenient n. an unwanted pregnancy
380,mouth,mauθ,"n. 嘴, 口, 口腔, 口状物；vi. 装腔作势说话, 做鬼脸；vt. 说出, 做作地说",A,4,546,1060,1011,4,1,zk gk toefl,s:mouths/p:mouthed/i:mouthing/d:mouthed/3:mouths,n. the opening through which food is taken in and vocalizations emerge n. the externally visible part of the oral cavity on the face and the system of organs surrounding the opening n. an opening that resembles a mouth (as of a cave or a gorge) n. the point where a stream issues into a larger body of water
381,credit,'kredit,"n. 信用, 信任, 荣誉, 贷款, 学分；vt. 归功于, 赞颂, 信任, 相信；[计] 信用量",A,4,602,1125,1262,4,1,gk toefl ielts gre,d:credited/s:credits/3:credits/i:crediting/p:credited,n. money available for a client to borrow n. an accounting entry acknowledging income or capital items n. used in the phrase `to your credit' in order to indicate an achievement deserving praise;  n. arrangement for deferred payment for goods and services
382,insurance,in'ʃurәns,"n. 保险, 保险业, 保险费；[医] 保险",A,4,509,1197,1347,4,1,gk cet4 cet6 ky ielts,s:insurances,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
383,ride,raid,"n. 骑马, 乘坐, 乘车, 搭便车；vt. 骑, 乘坐, 压迫, 控制；vi. 骑马, 乘车, 漂游",A,4,500,1283,1796,4,1,zk gk,i:riding/p:rode/d:ridden/s:rides/3:rides,"n. a mechanical device that you ride for amusement or excitement v. sit and travel on the back of animal, usually while controlling its motions v. be carried or travel on or in a vehicle v. continue undisturbed and without interference"
384,understanding,.ʌndә'stændiŋ,"n. 理解, 谅解；[法] 协商, 协议, 谅解",A,4,595,1298,1260,3,1,gk cet4 cet6 ky ielts,0:understand/1:i/i:understanding/s:understandings,n. the cognitive condition of someone who understands s. characterized by understanding based on comprehension and discernment and empathy
385,promise,'prɒmis,"n. 诺言, 约定的事情, 有指望；vt. 允诺, 约定, 预示；vi. 允诺, 有前途, 有指望",A,4,564,1438,1478,4,1,zk gk cet4 cet6 ky toefl ielts,p:promised/d:promised/s:promises/3:promises/i:promising,n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future n. grounds for feeling hopeful about the future v. make a promise or commitment v. promise to undertake or give
386,bus,bʌs,n. 公共汽车；[计] 总线; 汇流条; 母线,A,4,521,1453,1399,3,1,zk gk ielts,s:buses/i:bussing/p:bussed/3:busses/d:bussed,n. a vehicle carrying many passengers; used for public transport n. a car that is old and unreliable v. send or move around by bus v. ride in a bus
387,writing,'raitiŋ,"n. 书写, 著作, 笔迹, 作品；[医] 书写",A,4,528,1528,1484,4,1,gk cet4 cet6 ky ielts,0:write/1:i/i:writing/s:writings,n. the act of creating written works n. the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect) n. (usually plural) the collected work of an author n. letters or symbols that are written or imprinted on a surface to represent the sounds or words of a language
388,paint,peint,"n. 油漆, 颜料, 绘画作品, 涂漆；vt. 油漆, 绘, 画, 描绘, 装饰, 点缀；vi. 绘画, 涂漆",A,4,502,1555,2040,4,1,zk gk cet4 ky,d:painted/p:painted/i:painting/s:paints/3:paints,n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating v. make a painting v. apply paint to; coat with paint v. make a painting of
389,novel,'nɒvl,"n. 小说, 长篇故事；a. 新奇的, 异常的",A,4,527,1647,2109,4,1,gk cet4 cet6 ky toefl ielts,s:novels,n. an extended fictional work in prose; usually in the form of a story n. a printed and bound book that is an extended work of fiction s. pleasantly new or different
390,wake,weik,"vt. 叫醒, 激发；vi. 醒来, 醒着, 觉醒, 活跃起来；n. 守侯, 守夜, 尾迹, 痕迹",A,4,488,1764,2178,3,1,zk gk,p:woke/d:woken/i:waking/3:wakes/s:wakes,"n. the wave that spreads behind a boat as it moves forward n. a vigil held over a corpse the night before burial v. be awake, be alert, be there v. make aware of"
391,except,ik'sept,"vt. 除, 除外；vi. 反对；prep. 除了...之外, 若不是, 除非；conj. 只是",A,4,505,1836,2154,4,1,zk gk,i:excepting/p:excepted/d:excepted/3:excepts,v take exception to v prevent from being included or considered or accepted
392,bomb,bɒm,"n. 炸弹；vt. 轰炸, 投弹于；vi. 失败",A,4,534,1992,2266,4,1,gk cet4 cet6 ky,s:bombs/d:bombed/i:bombing/p:bombed/3:bombs,n. an explosive device fused to explode under specific conditions
393,plus,plʌs,"prep. 加上, 加, 外加；a. 正的, 附加的；n. 正号, 加号, 附加额, 正数, 增益；[计] 正差",A,4,496,2066,1357,4,1,gk cet4 ky ielts,s:pluses,a. on the positive side or higher end of a scale s. involving advantage or good
394,illegal,i'li:gәl,"a. 违法的, 不合规定的；[经] 非法的, 犯规的",A,4,618,2071,3103,3,1,gk cet4 cet6 ky ielts gre,s:illegals,a. prohibited by law or by official or accepted rules
395,cheese,tʃi:z,n. 乳酪；[化] 干酪,A,4,520,2104,2717,3,1,zk gk cet4 ky ielts,d:cheesed/0:cheese/i:cheesing/3:cheese/1:3/p:cheesed/s:cheeses,"n. a solid food prepared from the pressed curd of milk v. used in the imperative (get away, or stop it) v. wind onto a cheese"
396,lucky,'lʌki,"a. 幸运的, 吉祥的, 好运的, 侥幸的",A,4,548,2126,2137,3,1,zk gk cet4 ky,r:luckier/t:luckiest,s. occurring by chance a. having or bringing good fortune
397,suppose,sә'pәuz,"vt. 推想, 假设, 以为, 想像, 假定；vi. 料想",A,4,571,2161,840,4,1,zk gk cet4 cet6 ky toefl,p:supposed/d:supposed/i:supposing/3:supposes,v. express a supposition
398,amazing,ә'meiziŋ,a. 令人惊异的,A,4,503,2294,3667,3,1,gk toefl ielts,i:amazing/0:amazing/1:i,s. surprising greatly s. inspiring awe or admiration or wonder
399,round,raund,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱；a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的；prep. 围着, 附近, 绕过, 在...周围；adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向；vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入；vi. 变圆, 发胖, 环行, 拐弯, 进展",A,4,530,2372,730,2,1,zk gk,s:rounds/p:rounded/d:rounded/i:rounding/3:rounds/r:rounder,n. a charge of ammunition for a single shot n. (often plural) a series of professional calls (usually in a set order) n. the usual activities in your day n. the course along which communications spread
400,pure,pjuә,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的；[医] 的, 纯净的",A,4,535,2416,2387,3,1,gk cet4 cet6 ky toefl ielts,t:purest/r:purer,a. free of extraneous elements of any kind s. free from discordant qualities s. concerned with theory and data rather than practice; opposed to applied a. (used of persons or behaviors) having no faults; sinless
401,fault,fɒ:lt,"n. 过错, 故障, 毛病；vt. 挑剔；vi. 产生断层, 弄错；[计] 故障",A,4,517,2849,2076,3,1,gk cet4 ky toefl ielts gre,s:faults/d:faulted/p:faulted/i:faulting/3:faults,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.) n. responsibility for a bad situation or event n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
402,relax,ri'læks,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养；vt. 使松弛, 缓和, 使松懈, 使休息",A,4,506,2861,2535,3,1,zk gk cet4 cet6 ky toefl,p:relaxed/i:relaxing/d:relaxed/3:relaxes,"v. become less tense, rest, or take one's ease v. make less taut v. cause to feel relaxed v. become less tense, less formal, or less restrained, and assume a friendlier manner"
403,pipe,paip,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器；vt. 以管输送, 吹哨子, 吹奏, 尖声唱；vi. 吹笛, 尖叫, 吹长哨发令；[计] 管道",A,4,590,2980,2438,3,1,gk cet4 cet6 ky,s:pipes/d:piped/p:piped/i:piping/3:pipes,n. a tube with a small bowl at one end; used for smoking tobacco n. a long tube made of metal or plastic that is used to carry water or oil or gas etc. n. a hollow cylindrical shape n. a tubular wind instrument
404,brilliant,'briljәnt,"a. 光辉的, 灿烂的, 有才气的；[机] 亮的",A,4,616,3159,2429,3,1,gk cet4 ky ielts,s:brilliants,s. of surpassing excellence s. characterized by grandeur s. full of light; shining intensely
405,shower,'ʃauә,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者；vi. 淋浴, 下阵雨；vt. 淋湿, 倾注",A,4,490,3204,3712,2,1,zk gk cet4 cet6 ky toefl ielts,s:showers/d:showered/p:showered/i:showering/3:showers,n. a plumbing fixture that sprays water over you n. washing yourself by standing upright under water sprayed from a nozzle n. a brief period of precipitation n. a sudden downpour (as of tears or sparks etc) likened to a rain shower
406,acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药；a. 酸的, 酸性的, 尖刻的, 敏锐的；[计] 自动文档互参与索引生成程序",A,4,567,3238,1597,3,1,gk cet4 cet6 ky toefl ielts,s:acids,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt n. street name for lysergic acid diethylamide s. having the characteristics of an acid
407,uncle,ʌŋkl,"n. 叔父, 伯父, 姨丈",A,4,593,3345,2301,3,1,zk gk,s:uncles,n. the brother of your father or mother; the husband of your aunt n. a source of help and advice and encouragement
408,mess,mes,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境；vt. 将...弄糟, 妨碍, 使紊乱, 使就餐；vi. 陷入困境, 搞乱, 用膳",A,4,543,3381,3437,3,1,gk cet4 cet6 ky ielts,i:messing/d:messed/p:messed/s:messes/3:messes,n. a state of confusion and disorderliness n. soft semiliquid food n. a meal eaten in a mess hall by service personnel n. a (large) military dining room where service personnel eat or relax
409,deposit,di'pɒzit,"n. 存款, 定金, 堆积物；vt. 存放, 堆积；vi. 沉淀",A,4,604,4692,2384,3,1,gk cet4 cet6 ky toefl ielts gre,s:deposits/d:deposited/p:deposited/i:depositing/3:deposits,n. the phenomenon of sediment or gravel accumulating n. money deposited in a bank or some similar institution n. money given as security for an article acquired for temporary use n. a payment given as a guarantee that an obligation will be met
410,smoking,'smәukiŋ,"n. 抽烟, 冒烟；[医] 烟熏; 吸烟",A,4,572,4956,5035,,1,gk ielts,0:smoke/1:i/i:smoking,s. emitting smoke in great volume
411,dollar,'dɒlә,"n. 美元, 元(加、澳等国货币单位)；[经] 纯经济的, 美元, 元",A,4,613,0,2340,5,1,zk gk,s:dollars,n. the basic monetary unit in many countries; equal to 100 cents n. a piece of paper money worth one dollar n. a United States coin worth one dollar n. a symbol of commercialism or greed
412,seem,si:m,"vi. 象是, 似乎",A,3,726,165,134,5,1,zk gk,3:seems/p:seemed/d:seemed/i:seeming,v. appear to exist v. appear to one's own mind or opinion
413,question,'kwestʃәn,"n. 问题, 询问；v. 询问, 审问, 怀疑；[计] 询问",A,3,736,197,221,5,1,zk gk,s:questions/d:questioned/p:questioned/i:questioning/3:questions,n. an instance of questioning n. the subject matter at issue n. a sentence of inquiry that asks for a reply n. an informal reference to a marriage proposal
414,during,'djuәriŋ,prep. 在...的时候,A,3,802,198,192,5,1,zk gk,,"prep. In the time of; as long as the action or existence of;    as, during life; during the space of a year."
415,hold,hәuld,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁；vt. 保存, 握住, 拿住, 占据, 持有, 拥有；vi. 支持, 持续, 有效；n. 保留；[计] 保留",A,3,643,213,178,4,1,zk gk ielts gre,d:held/p:held/i:holding/3:holds/s:holds,n. power by which something or someone is affected or dominated n. a stronghold n. a cell in a jail or prison v. have or hold in one's hands or grip
416,under,'ʌndә,"prep. 在...之下, 低于；a. 下面的, 从属的；adv. 在下面",A,3,783,225,158,5,1,zk gk,,"s. lower in rank, power, or authority r. down to defeat, death, or ruin r. through a range downward r. into unconsciousness"
417,room,ru:m,"n. 房间, 空位, 场所；vi. 住宿, 居住；vt. 留宿",A,3,832,227,240,5,1,zk gk ielts,s:rooms/i:rooming/p:roomed/3:rooms/d:roomed,n. an area within a building enclosed by walls and floor and ceiling n. space for movement n. opportunity for n. the people who are present in a room
418,mother,'mʌðә,"n. 母亲, 修女院长；vt. 产生, 照看, 收养",A,3,769,229,306,5,1,zk gk ielts,s:mothers/i:mothering/p:mothered/3:mothers/d:mothered,n. a woman who has given birth to a child (also used as a term of address to your mother) n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar n. a term of address for an elderly woman n. a term of address for a mother superior
419,month,mʌnθ,n. 月；[经] 月,A,3,663,236,214,5,1,zk gk ielts,s:months,n. a time unit of approximately 30 days
420,almost,'ɒ:lmәust,"adv. 几乎, 差不多",A,3,752,291,280,5,1,zk gk,,r (of actions or states) slightly short of or not quite accomplished; all but
421,kid,kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗；a. 小山羊皮制的；v. 哄骗, 嘲弄",A,3,772,312,1572,4,1,zk gk cet4 ky,s:kids/i:kidding/p:kidded/3:kids/d:kidded,n. soft smooth leather from the hide of a young goat n. young goat v. be silly or tease one another
422,read,ri:d,"v. 读, 阅读, 理解；a. 有学问的；n. 读取, 阅读；[计] 读取",A,3,674,337,322,5,1,zk gk,d:read/0:read/1:dp/i:reading/p:read/3:reads,"n. something that is read v. interpret something that is written or printed v. have or contain a certain wording or form v. look at, interpret, and say out loud something that is written or printed"
423,low,lәu,"n. 低点, 低价, 低, 牛叫声；a. 低的, 消沉的, 低等的, 浅的, 卑贱的；adv. 低下地, 谦卑地, 低；vi. 牛叫",A,3,654,360,318,5,1,zk gk gre,r:lower/t:lowest/s:lows/d:lowed/i:lowing/p:lowed/3:lows,n. an air mass of lower pressure; often brings precipitation n. British political cartoonist (born in New Zealand) who created the character Colonel Blimp (1891-1963) n. a low level or position or degree a. less than normal in degree or intensity or amount
424,second,'sekәnd,"n. 秒, 瞬间, 第二名, 支持者, 助手；a. 第二的, 其次的, 次要的, 附加的, 辅助的；num. 第二；vt. 当...助手, 支持",A,3,689,381,242,5,1,zk gk ielts,s:seconds/d:seconded/p:seconded/i:seconding/3:seconds,n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites n. following the first in an ordering or series n. a 60th part of a minute of arc n. the official attendant of a contestant in a duel or boxing match
425,able,'eibl,"a. 能干的, 能够的",A,3,837,385,295,5,1,zk gk,,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something s. have the skills and qualifications to do things well s. having inherent physical or mental ability or capacity s. having a strong healthy body
426,process,'prɒses,"n. 程序, 进行, 过程；vt. 加工, 使...接受处理, 对...处置, 对...起诉；a. 经加工的, 有特殊光效的；[计] 进程",A,3,829,391,343,5,1,gk cet4 cet6 ky toefl ielts,s:processes/d:processed/i:processing/p:processed/3:processes,n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents n. a mental process that you are not directly aware of n. a natural prolongation or projection from a part of an organism either animal or plant n. a sustained phenomenon or one marked by gradual changes through a series of states
427,sense,sens,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智；vt. 感觉, 觉察, 检测；[计] 阅读; 检测",A,3,751,407,417,5,1,zk gk cet4 cet6 ky ielts,s:senses/p:sensed/i:sensing/d:sensed/3:senses,n. a general conscious awareness n. the meaning of a word or expression; the way in which a word or expression or situation can be interpreted n. the faculty through which the external world is apprehended n. a natural appreciation or ability
428,cut,kʌt,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路；a. 经切割的, 缩减的；vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出；vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑；[计] 剪切",A,3,845,414,541,5,1,zk gk ielts,d:cut/0:cut/1:dp/s:cuts/i:cutting/p:cut/3:cuts,n. a share of the profits n. (film) an immediate transition from one shot to the next n. a trench resembling a furrow that was made by erosion or excavation n. a step on some scale
429,along,ә'lɒŋ,"adv. 平行地, 向前；prep. 沿着",A,3,647,447,823,5,1,zk gk,,r. with a forward motion r. in accompaniment or as a companion r. to a more advanced state r. in addition (usually followed by `with')
430,wife,waif,"n. 妻子, 太太, 夫人；[法] 妻子, 已婚妇女",A,3,653,466,531,5,1,zk gk,s:wives,n. a married woman; a man's partner in marriage
431,full,ful,"n. 全部, 完整；a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的；adv. 完全地, 整整, 十分；vt. 把(衣服等)缝得宽松, 漂洗；[计] 完整",A,3,801,503,309,5,1,zk gk,r:fuller/t:fullest,v. beat for the purpose of cleaning and thickening v. make (a garment) fuller by pleating or gathering a. containing as much or as many as is possible or normal s. complete in extent or degree and in every particular
432,record,ri'kɒ:d,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片；vt. 记录, 记载, 标明, 将...录音；vi. 记录, 录音, 可被录音；a. 创纪录的；[计] 录制, 记录",A,3,843,516,507,5,1,zk gk cet4 cet6 ky ielts,s:records/d:recorded/p:recorded/i:recording/3:records,n. anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events n. the number of wins versus losses and ties a team has had n. the sum of recognized accomplishments n. a compilation of the known facts regarding something or someone
433,pick,pik,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄；v. 摘, 掘, 凿, 挖, 挑选；[计] 拾取",A,3,735,517,664,3,1,zk gk ielts,p:picked/i:picking/d:picked/3:picks/s:picks,n. a small thin device (of metal or plastic or ivory) used to pluck a stringed instrument n. a thin sharp implement used for removing unwanted material n. a heavy iron tool with a wooden handle and a curved head that is pointed on both ends n. a basketball maneuver; obstructing an opponent with one's body
434,certain,'sә:tәn,"a. 确定的, 某一个的, 必然的；[法] 确凿的, 无疑的, 可靠的",A,3,814,577,440,3,1,zk gk cet4 ky,,s. definite but not specified or identified a. having or feeling no doubt or uncertainty; confident and assured a. established beyond doubt or question; definitely known a. certain to occur; destined or inevitable
435,catch,kætʃ,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手；vt. 捕捉, 赶上, 感染, 听清楚；vi. 抓住, 燃着",A,3,646,586,681,4,1,zk gk ielts,d:caught/p:caught/i:catching/3:catches/s:catches,n. a drawback or difficulty that is not readily evident n. the quantity that was caught n. a person regarded as a good matrimonial prospect n. anything that is caught (especially if it is worth catching)
436,attention,ә'tenʃәn,"n. 注意, 注意力；[计] 引起注意信号",A,3,733,591,714,4,1,zk gk cet4 ky toefl ielts,s:attentions,n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others n. a general interest that leads people to want to know more n. a courteous act indicating affection n. the faculty or power of mental concentration
437,evidence,'evidәns,"n. 根据, 证据, 迹象；[经] 证据, 凭证",A,3,785,606,456,4,1,gk cet4 cet6 ky toefl ielts,d:evidenced/s:evidences/i:evidencing/p:evidenced/3:evidences,n. your basis for belief or disbelief; knowledge on which to base belief n. an indication that makes something evident n. (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved
438,south,sauθ,"n. 南方, 南；a. 南的, 向南的；adv. 在南方；vi. 转向南方",A,3,705,636,601,4,1,zk gk,,"n. the region of the United States lying to the south of the Mason-Dixon line n. the cardinal compass point that is at 180 degrees n. a location in the southern part of a country, region, or city n. the direction corresponding to the southward cardinal compass point"
439,husband,'hʌzbәnd,"n. 丈夫, 管理人, 节俭的人；vt. 节俭, 使成丈夫, 持有",A,3,747,637,826,4,1,zk gk gre,s:husbands/i:husbanding/p:husbanded/3:husbands/d:husbanded,n. a married man; a woman's partner in marriage
440,future,'fju:tʃә,"n. 未来, 将来；a. 将来的, 未来的",A,3,830,654,639,5,1,zk gk ielts,s:futures,n. the time yet to come n. a verb tense that expresses actions or states in the future n. bulk commodities bought or sold at an agreed price for delivery at a specified future date a. yet to be or coming
441,certainly,'sә:tәnli,adv. 确定地,A,3,662,664,540,4,1,gk,,r definitely or positively (`sure' is sometimes used informally for `surely')
442,private,'praivit,"a. 私人的, 秘密的, 私立的, 隐蔽的；n. 士兵, 隐士, 阴部；[计] 私人的",A,3,745,672,581,4,1,zk gk cet4 cet6 ky toefl ielts,s:privates,n. an enlisted man of the lowest rank in the Army or Marines a. confined to particular persons or groups or providing privacy s. concerning things deeply private and personal
443,blood,blʌd,"n. 血, 血统, 流血, 气质, 生命；vt. 使出血, 用血涂",A,3,655,692,980,4,1,zk gk cet4 ky ielts,s:bloods/d:blooded/i:blooding/p:blooded/3:bloods,"n. the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets n. temperament or disposition n. people viewed as members of a group v. smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill"
444,near,niә,"a. 近的, 近亲的, 近似的；adv. 接近, 亲近；prep. 靠近, 近似于；v. 接近, 走近",A,3,780,706,726,5,1,zk gk,t:nearest/r:nearer/i:nearing/p:neared/3:nears/d:neared,a. not far distant in time or space or degree or circumstances s. being on the left side s. closely resembling the genuine article r. near in time or place or relationship
445,list,list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单；vt. 列出, 列于表上, 记入名单内, 装布条；vi. 列于表上；[计] 列表, 序列, 数据清单",A,3,839,761,716,5,1,zk gk cet4 cet6 ky ielts gre,s:lists/d:listed/p:listed/3:lists/i:listing,n. a database containing an ordered array of items (names or topics) v. give or make a list of; name individually; give the names of v. include in a list v. cause to lean to the side
446,accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍；vi. 同意",A,3,828,766,488,5,1,zk gk cet4 ky,d:accepted/p:accepted/i:accepting/3:accepts,v. consider or hold as true v. receive willingly something given or offered v. give an affirmative reply to; respond favorably to v. react favorably to; consider right and proper
447,answer,'ɑ:nsә,"n. 答案, 回答, 回报, 答辩；vt. 回答, 反驳, 适应, 响应, 符合；vi. 回答, 答应, 负责, 符合, 成功；[计] 用户问题及答案新闻组",A,3,730,767,808,5,1,zk gk,s:answers/p:answered/d:answered/i:answering/3:answers,n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation n. the speech act of replying to a question n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims n. a nonverbal reaction
448,forward,'fɒ:wәd,"a. 向前的, 早的, 迅速的, 在前的, 进步的；vt. 促进...的生长, 转寄, 运送；adv. 向前地；[计] 前推, 转信",A,3,659,815,734,4,1,zk gk gre,s:forwards/d:forwarded/p:forwarded/i:forwarding/3:forwards,"n. the person who plays the position of forward in certain games, such as basketball, soccer, or hockey n. a position on a basketball, soccer, or hockey team v. send or ship onward from an intermediate post or station in transit a. at or near or directed toward the front"
